HHID,IWTime,Age,Gender,M_Status,Class,Occupation,livedOutside,WhenMove,MoveHereYear,Caste
2301006,0:10,10,1,0,3,4,0,-1,-1,1
2301006,0:10,40,1,1,9,5,0,-1,2069-02,1
2301006,0:10,43,0,1,9,2,1,-1,-1,1
2301006,0:10,17,0,0,10,4,0,-1,-1,1
2301007,0:10,55,1,1,3,5,1,-1,2059-01,1
2301007,0:10,57,0,1,3,5,1,-1,2059-01,1
2301007,0:10,22,1,1,12,6,0,-1,2076-10,1
2301007,0:10,24,0,0,12,5,0,-1,2059-01,1
2301007,0:10,26,0,1,12,1,0,-1,2059-01,1
2301013,0:06,49,1,1,0,6,0,-1,-1,3
2301013,0:06,51,0,1,7,5,1,-1,-1,3
2301016,0:15,55,1,1,0,5,0,-1,-1,1
2301016,0:15,7,0,0,1,4,0,2072,2076-12,1
2301016,0:15,8,0,0,1,4,0,-1,2076-12,1
2301016,0:15,11,1,0,5,4,0,-1,2076-12,1
2301016,0:15,60,0,1,5,5,0,-1,2029,1
2301016,0:15,14,0,0,8,4,0,2069-01,2076-12,1
2301016,0:15,37,0,1,9,1,0,2069-01,-1,1
2301016,0:15,29,1,1,12,6,0,-1,2068-01,1
2301016,0:15,34,1,1,12,1,0,2069-01,2064-08,1
2301016,0:15,34,0,1,10,5,0,-1,-1,1
2301017,0:05,25,0,0,12,2,0,-1,-1,1
2301017,0:05,47,1,1,10,5,0,-1,2049-06,1
2301021,0:10,1,0,0,0,0,1,2078,0,1
2301021,0:10,51,1,1,5,5,0,-1,2062-11,1
2301021,0:10,27,1,1,12,6,1,2077-06,2071-03,1
2301021,0:10,65,0,1,10,5,0,-1,2018,1
2301021,0:10,6,1,0,NS,4,1,2077-06,-1,1
2301021,0:10,37,0,1,14,2,1,2069-11,-1,1
2301029,0:03,39,1,1,0,5,0,-1,2057-11,1
2301029,0:03,44,0,1,5,2,1,-1,-1,1
2301029,0:03,15,0,0,9,4,0,-1,-1,1
2301029,0:03,20,0,0,12,0,0,-1,-1,1
2301037,0:15,1,1,0,0,0,0,-1,-1,1
2301037,0:15,9,1,0,2,4,0,-1,-1,1
2301037,0:15,65,1,1,5,6,1,-1,2066-02,1
2301037,0:15,77,0,1,8,5,1,-1,2066-02,1
2301037,0:15,29,1,1,12,6,0,-1,2071-11,1
2301037,0:15,31,1,1,12,5,0,-1,2069-11,1
2301037,0:15,36,0,1,12,1,1,-1,2066-02,1
2301037,0:15,32,0,1,16,2,0,-1,2066-02,1
2301037,0:15,6,1,0,KG,4,0,-1,-1,1
2301037,0:15,5,0,0,NS,4,0,-1,-1,1
2301038,0:05,71,1,3,0,6,0,-1,2040-03,3
2301038,0:05,32,0,1,5,2,1,2075-03,-1,3
2301038,0:05,28,1,1,7,5,0,-1,2072- 3,3
2301038,0:05,5,0,0,NS,4,0,-1,-1,3
2301038,0:05,6,1,0,KG,4,0,-1,-1,3
2301041,0:05,50,1,1,3,5,0,-1,2051-05,2
2301041,0:05,60,0,1,6,5,1,-1,2051-05,2
2301041,0:05,30,0,1,10,2,0,-1,2051-05,2
2301041,0:05,30,1,1,10,6,1,2075-02,2070-04,2
2301041,0:05,5,1,0,KG,4,0,-1,-1,2
2301043,0:06,11,1,0,4,4,0,-1,-1,1
2301043,0:06,30,1,1,9,5,0,-1,2068-11,1
2301043,0:06,40,0,1,10,2,1,2078-08,-1,1
2301044,0:05,56,1,3,0,5,0,-1,2030-02,1
2301044,0:05,14,0,0,7,4,0,-1,2073-02,1
2301044,0:05,28,0,1,12,2,1,2070-02,2073-02,1
2301044,0:05,23,1,1,14,6,0,-1,2074-06,1
2301046,0:10,1,0,0,0,0,0,-1,-1,1
2301046,0:10,66,0,3,0,5,0,-1,2036-04,1
2301046,0:10,18,1,0,12,5,0,-1,-1,1
2301046,0:10,26,1,1,12,6,0,-1,2072-08,1
2301046,0:10,27,0,0,12,2,1,2074-05,-1,1
2301046,0:10,31,0,1,10,2,1,2079-01,-1,1
2301046,0:10,6,0,0,NS,4,0,-1,-1,1
2301047,0:07,38,1,3,3,5,0,-1,2064-01,2
2301047,0:07,12,1,0,6,4,0,-1,-1,2
