,HHID,IWTime,SN,Age,Gender,M_Status,Class,S_Name,Occupation,livedOutside,Address,WhenMove,BirthPlace,MoveHereYear,Caste,Own Land,Annual Income,Land Owned,Secondary,Brahmin-Chetri,Gurung-Magar-Tamang,Dalit,Newar,Tharu-Darai-Kumal,Other
0,2301006,0:10,1,43,0,1,9,0,2,1,0,-1,0,-1,1,1,500000,5.0,1,1,0,0,0,0,0
1,2301007,0:10,1,55,1,1,3,0,5,1,0,-1,N67,2059-01,1,1,60000,0.0,0,1,0,0,0,0,0
2,2301013,0:06,1,49,1,1,0,0,6,0,0,-1,0,-1,3,1,270000,0.0,0,0,0,1,0,0,0
3,2301016,0:15,1,55,1,1,0,0,5,0,0,-1,0,-1,1,1,400000,0.0,0,1,0,0,0,0,0
4,2301017,0:05,1,47,1,1,10,0,5,0,0,-1,N56,2049-06,1,1,180000,0.0,1,1,0,0,0,0,0
5,2301021,0:10,1,65,0,1,10,0,5,0,0,-1,N61,2018,1,1,150000,0.0,1,1,0,0,0,0,0
6,2301029,0:03,1,39,1,1,0,0,5,0,0,-1,N57,2057-11,1,1,150000,0.0,0,1,0,0,0,0,0
7,2301037,0:15,1,31,1,1,12,0,5,0,0,-1,N56,2069-11,1,1,600000,0.0,1,1,0,0,0,0,0
8,2301038,0:05,1,28,1,1,7,0,5,0,0,-1,N78,2072- 3,3,1,350000,0.0,1,0,0,1,0,0,0
9,2301041,0:05,1,50,1,1,3,0,5,0,N56,-1,N10,2051-05,2,1,280000,0.0,0,0,1,0,0,0,0
10,2301043,0:06,1,30,1,1,9,0,5,0,0,-1,N57,2068-11,1,1,200000,0.0,1,1,0,0,0,0,0
11,2301044,0:05,1,56,1,3,0,0,5,0,0,-1,N64,2030-02,1,1,300000,0.0,0,1,0,0,0,0,0
12,2301046,0:10,1,66,0,3,0,0,5,0,0,-1,N02,2036-04,1,1,360000,0.0,0,1,0,0,0,0,0
13,2301047,0:07,1,38,1,3,3,0,5,0,0,-1,N08,2064-01,2,1,70000,8.0,0,0,1,0,0,0,0
14,2301048,0:08,1,45,1,1,0,0,5,0,0,-1,N08,2070-01,2,1,60000,0.0,0,0,1,0,0,0,0
15,2301053,0:10,1,50,1,1,0,0,5,0,0,-1,N62,2034-01,3,1,470000,0.0,0,0,0,1,0,0,0
16,2301056,0:05,1,50,1,1,0,0,5,0,0,-1,N56,2046-11,3,1,200000,0.0,0,0,0,1,0,0,0
17,2301057,0:07,1,60,1,3,0,0,5,0,0,-1,0,-1,3,1,400000,0.0,0,0,0,1,0,0,0
18,2301058,0:05,1,38,1,1,7,0,5,0,0,-1,N78,2056-02,3,1,200000,0.0,1,0,0,1,0,0,0
19,2301059,0:05,1,45,1,1,9,0,5,0,0,-1,N56,2053-05,3,1,150000,0.0,1,0,0,1,0,0,0
20,2301060,0:07,1,39,1,1,7,0,5,0,0,-1,N56,2055-01,3,1,200000,0.0,1,0,0,1,0,0,0
21,2301068,0:04,1,30,1,1,9,0,5,0,0,-1,N10,2079-08,2,1,300000,0.0,1,0,1,0,0,0,0
22,2301069,0:06,1,52,1,1,0,0,5,0,0,-1,N56,2041-11,1,1,90000,10.0,0,1,0,0,0,0,0
23,2301070,0:11,1,28,1,1,10,0,5,1,0,-1,N64,2072-01,2,1,1200000,0.0,1,0,1,0,0,0,0
24,2301071,0:08,1,35,1,1,2,0,5,0,0,-1,N10,2066-01,2,1,400000,0.0,0,0,1,0,0,0,0
25,2301072,0:06,1,41,1,1,0,0,5,0,0,-1,N10,2067-09,2,1,200000,0.0,0,0,1,0,0,0,0
26,2301073,0:07,1,45,1,1,4,0,5,1,0,-1,N63,2071-01,1,1,400000,0.0,0,1,0,0,0,0,0
27,2301074,0:07,1,30,1,1,7,0,5,0,0,-1,N56,2064-05,3,1,400000,0.0,1,0,0,1,0,0,0
28,2301075,0:07,1,24,1,1,8,0,5,0,0,-1,N62,2071-06,3,1,500000,0.0,1,0,0,1,0,0,0
29,2301086,0:04,1,55,0,1,4,0,1,1,0,-1,0,-1,2,1,400000,0.0,0,0,1,0,0,0,0
30,2301087,0:06,1,51,0,1,10,0,5,1,0,-1,N57,2058-06,2,1,50000,0.0,1,0,1,0,0,0,0
31,2301092,0:09,1,50,1,1,6,0,5,0,0,-1,N56,2063-01,1,1,150000,0.0,1,1,0,0,0,0,0
32,2301093,0:05,1,43,0,1,12,0,5,0,0,-1,N56,2057-02,1,1,200000,0.0,1,1,0,0,0,0,0
33,2301094,0:07,1,45,0,1,10,0,5,0,0,-1,N56,2057-03,1,1,100000,0.0,1,1,0,0,0,0,0
34,2301096,0:06,1,27,1,1,9,0,5,0,0,-1,N78,2072-03,1,1,80000,0.0,1,1,0,0,0,0,0
35,2301099,0:10,1,41,1,1,2,0,5,0,0,-1,0,-1,2,1,90000,0.0,0,0,1,0,0,0,0
36,2301100,0:06,1,48,0,1,9,0,5,1,0,-1,N57,2037-10,2,1,80000,0.0,1,0,1,0,0,0,0
