,HHID,Subward,Droughts,Floods,Groundwater,Heat,Pests,Frost,Hail
0,2301006,2301,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0
1,2301007,2301,-1.0,-1.0,-1.0,0.0,1.0,1.0,0.0
2,2301013,2301,0.0,0.0,1.0,-1.0,1.0,-1.0,1.0
3,2301016,2301,1.0,0.0,0.0,0.0,1.0,1.0,0.0
4,2301017,2301,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
5,2301021,2301,1.0,0.0,-1.0,-1.0,1.0,1.0,-1.0
6,2301029,2301,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0
7,2301037,2301,0.0,0.0,-1.0,1.0,1.0,1.0,0.0
8,2301038,2301,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0
9,2301041,2301,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
10,2301043,2301,0.0,1.0,1.0,-1.0,0.0,0.0,-1.0
11,2301044,2301,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
12,2301046,2301,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
13,2301047,2301,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
14,2301048,2301,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
15,2301053,2301,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,2301056,2301,-1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,2301057,2301,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
18,2301058,2301,-1.0,-1.0,1.0,0.0,1.0,-1.0,0.0
19,2301059,2301,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
20,2301060,2301,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0
21,2301068,2301,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0
22,2301069,2301,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
23,2301070,2301,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
24,2301071,2301,0.0,1.0,0.0,0.0,1.0,0.0,-1.0
25,2301072,2301,0.0,1.0,1.0,0.0,1.0,1.0,-1.0
26,2301073,2301,1.0,1.0,1.0,-1.0,1.0,1.0,0.0
27,2301074,2301,0.0,1.0,0.0,1.0,1.0,1.0,-1.0
28,2301075,2301,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
29,2301086,2301,1.0,0.0,0.0,0.0,1.0,-1.0,0.0
30,2301087,2301,0.0,1.0,0.0,-1.0,1.0,-1.0,-1.0
31,2301092,2301,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0
32,2301093,2301,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0
33,2301094,2301,0.0,1.0,0.0,1.0,1.0,1.0,-1.0
34,2301096,2301,1.0,1.0,1.0,-1.0,1.0,0.0,0.0
35,2301099,2301,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
36,2301100,2301,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0
37,2301104,2301,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
38,2301105,2301,0.0,1.0,-1.0,0.0,1.0,1.0,-1.0
39,2301108,2301,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0
40,2301111,2301,0.0,0.0,1.0,0.0,1.0,1.0,0.0
41,2301113,2301,1.0,1.0,-1.0,0.0,1.0,1.0,0.0
42,2301116,2301,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
43,2301122,2301,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
44,2301124,2301,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,2301125,2301,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0
46,2301126,2301,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47,2301127,2301,1.0,-1.0,-1.0,1.0,1.0,0.0,0.0
48,2301128,2301,1.0,1.0,-1.0,1.0,1.0,1.0,1.0
49,2301129,2301,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,2301130,2301,0.0,-1.0,1.0,1.0,1.0,-1.0,-1.0
51,2301132,2301,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
52,2304001,2304,1.0,1.0,0.0,1.0,1.0,1.0,1.0
53,2304002,2304,0.0,1.0,0.0,0.0,1.0,0.0,0.0
54,2304003,2304,0.0,-1.0,0.0,1.0,1.0,0.0,-1.0
55,2304004,2304,1.0,0.0,-1.0,1.0,1.0,1.0,0.0
56,2304006,2304,0.0,-1.0,0.0,-1.0,1.0,0.0,0.0
57,2304007,2304,1.0,0.0,0.0,1.0,1.0,1.0,0.0
58,2304009,2304,-1.0,0.0,0.0,1.0,1.0,1.0,1.0
59,2304010,2304,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0
60,2304011,2304,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
61,2304014,2304,1.0,1.0,0.0,1.0,1.0,1.0,0.0
62,2304015,2304,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0
63,2304020,2304,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,2304021,2304,1.0,0.0,-1.0,0.0,1.0,0.0,0.0
65,2304022,2304,1.0,0.0,0.0,0.0,1.0,1.0,0.0
66,2304024,2304,-1.0,-1.0,0.0,-1.0,1.0,1.0,-1.0
67,2304025,2304,1.0,0.0,-1.0,0.0,1.0,1.0,0.0
68,2304026,2304,0.0,1.0,0.0,1.0,1.0,1.0,1.0
69,2304027,2304,1.0,0.0,0.0,1.0,1.0,1.0,0.0
70,2304028,2304,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
71,2304029,2304,1.0,1.0,1.0,1.0,1.0,0.0,0.0
72,2304030,2304,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
73,2304031,2304,1.0,1.0,0.0,0.0,1.0,0.0,0.0
74,2304032,2304,1.0,1.0,-1.0,0.0,1.0,0.0,0.0
75,2304033,2304,1.0,0.0,1.0,1.0,1.0,0.0,0.0
76,2304034,2304,-1.0,1.0,0.0,1.0,1.0,1.0,1.0
77,2304035,2304,0.0,1.0,0.0,1.0,1.0,1.0,0.0
78,2304036,2304,0.0,1.0,-1.0,1.0,1.0,0.0,0.0
79,2304037,2304,0.0,1.0,-1.0,1.0,1.0,1.0,1.0
80,2304038,2304,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0
81,2304039,2304,1.0,1.0,-1.0,1.0,1.0,1.0,0.0
82,2304040,2304,0.0,-1.0,0.0,-1.0,1.0,1.0,-1.0
