,HHID,Subward,Radio,Television,Newspapers,AgExtension,Veterinarian,MigrantLabor,OtherGov,LocalFriend,DistantFriend,Religious,Scientist,SocialMedia,SourceNumber,SourceIndex,PublicSources
0,2301006,2301,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,5,0.49328663462106176,0
1,2301007,2301,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
2,2301013,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
3,2301016,2301,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,0
4,2301017,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3,-0.4287444581285865,0
5,2301021,2301,4.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,6,0.9543021809958859,0
6,2301029,2301,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4,0.03227108824623762,0
7,2301037,2301,4.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5,0.49328663462106176,1
8,2301038,2301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,0
9,2301041,2301,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,-0.8897600045034108,0
10,2301043,2301,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3,-0.4287444581285865,1
11,2301044,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2,-0.8897600045034108,0
12,2301046,2301,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,-0.8897600045034108,0
13,2301047,2301,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6,0.9543021809958859,0
14,2301048,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2,-0.8897600045034108,0
15,2301053,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,-1.3507755508782349,0
16,2301056,2301,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,6,0.9543021809958859,1
17,2301057,2301,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,6,0.9543021809958859,0
