,HHID,DroughtExp,FloodExp,PestsExp,FrostExp,HailExp,HeatExp,GroundwaterExp,HazardNumber,HazardIndex
0,2301006,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
1,2301007,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
2,2301013,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
3,2301016,2.0,1.0,7.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
4,2301017,3.0,1.0,7.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
5,2301021,6.0,1.0,7.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
6,2301029,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
7,2301037,0.0,7.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
8,2301038,3.0,3.0,7.0,7.0,0.0,2.0,0.0,5,1.4411448399705458
9,2301041,4.0,7.0,7.0,7.0,0.0,2.0,0.0,5,1.4411448399705458
10,2301043,0.0,2.0,7.0,1.0,0.0,7.0,0.0,4,0.685035270206356
11,2301044,7.0,2.0,3.0,4.0,0.0,0.0,0.0,4,0.685035270206356
12,2301046,2.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
13,2301047,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
14,2301048,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
15,2301053,7.0,1.0,7.0,1.0,0.0,0.0,0.0,4,0.685035270206356
16,2301056,0.0,2.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
17,2301057,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3,-0.07107429955783373
18,2301058,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
19,2301059,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
20,2301060,1.0,0.0,5.0,2.0,0.0,0.0,0.0,3,-0.07107429955783373
21,2301068,0.0,2.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
22,2301069,0.0,2.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
23,2301070,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
24,2301071,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
25,2301072,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
26,2301073,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
27,2301074,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
28,2301075,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
29,2301086,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3,-0.07107429955783373
30,2301087,2.0,2.0,3.0,1.0,0.0,0.0,0.0,4,0.685035270206356
31,2301092,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
32,2301093,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
33,2301094,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
34,2301096,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
35,2301099,7.0,0.0,7.0,7.0,1.0,0.0,0.0,4,0.685035270206356
36,2301100,7.0,3.0,7.0,7.0,1.0,0.0,0.0,5,1.4411448399705458
37,2301104,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
38,2301105,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
39,2301108,7.0,0.0,7.0,7.0,0.0,0.0,7.0,4,0.685035270206356
40,2301111,0.0,1.0,7.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
41,2301113,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2,-0.8271838693220235
42,2301116,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2,-0.8271838693220235
43,2301122,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
44,2301124,6.0,2.0,7.0,0.0,0.0,7.0,0.0,4,0.685035270206356
45,2301125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
46,2301126,7.0,2.0,7.0,7.0,0.0,2.0,7.0,6,2.1972544097347355
47,2301127,5.0,2.0,7.0,7.0,0.0,7.0,0.0,5,1.4411448399705458
48,2301128,0.0,1.0,7.0,2.0,0.0,0.0,0.0,3,-0.07107429955783373
49,2301129,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
50,2301130,7.0,0.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
51,2301132,5.0,2.0,5.0,5.0,0.0,5.0,0.0,5,1.4411448399705458
52,2304001,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
53,2304002,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
54,2304003,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2,-0.8271838693220235
55,2304004,0.0,0.0,3.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
56,2304006,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,-1.5832934390862132
57,2304007,1.0,0.0,7.0,2.0,0.0,2.0,0.0,4,0.685035270206356
58,2304009,0.0,2.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
59,2304010,1.0,0.0,7.0,1.0,0.0,1.0,0.0,4,0.685035270206356
60,2304011,1.0,0.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
61,2304014,0.0,2.0,2.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
62,2304015,0.0,2.0,2.0,2.0,0.0,0.0,0.0,3,-0.07107429955783373
63,2304020,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
64,2304021,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
65,2304022,2.0,1.0,5.0,2.0,0.0,0.0,0.0,4,0.685035270206356
66,2304024,0.0,0.0,7.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
67,2304025,2.0,1.0,3.0,1.0,0.0,0.0,0.0,4,0.685035270206356
68,2304026,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
69,2304027,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
70,2304028,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2,-0.8271838693220235
71,2304029,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,-1.5832934390862132
72,2304030,0.0,1.0,7.0,7.0,0.0,0.0,0.0,3,-0.07107429955783373
73,2304031,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
74,2304032,4.0,0.0,4.0,5.0,0.0,0.0,0.0,3,-0.07107429955783373
75,2304033,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
76,2304034,0.0,1.0,7.0,1.0,0.0,1.0,1.0,5,1.4411448399705458
77,2304035,0.0,2.0,1.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
78,2304036,1.0,1.0,7.0,0.0,0.0,0.0,0.0,3,-0.07107429955783373
79,2304037,0.0,1.0,7.0,2.0,0.0,0.0,0.0,3,-0.07107429955783373
80,2304038,3.0,0.0,3.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
81,2304039,0.0,2.0,7.0,0.0,0.0,0.0,0.0,2,-0.8271838693220235
82,2304040,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3,-0.07107429955783373
83,2304041,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3,-0.07107429955783373
84,2304043,0.0,1.0,4.0,5.0,0.0,0.0,0.0,3,-0.07107429955783373
85,2304044,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3,-0.07107429955783373
86,2304045,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2,-0.8271838693220235
87,2304046,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2,-0.8271838693220235
88,2304049,3.0,1.0,7.0,7.0,0.0,0.0,0.0,4,0.685035270206356
89,2304050,2.0,2.0,7.0,7.0,2.0,0.0,0.0,5,1.4411448399705458
