,HHID,Gender,Age,Caste,RiskPref,RiskSeek
0,2301006,0,43,1,10,True
1,2301007,1,55,1,6,True
2,2301013,1,49,3,10,True
3,2301016,1,55,1,6,True
4,2301017,1,47,1,10,True
5,2301021,0,65,1,5,False
6,2301029,1,39,1,5,False
7,2301037,1,31,1,10,True
8,2301038,1,28,3,10,True
9,2301041,1,50,2,10,True
10,2301043,1,30,1,10,True
11,2301044,1,56,1,8,True
12,2301046,0,66,1,6,True
13,2301047,1,38,2,3,False
14,2301048,1,45,2,5,False
15,2301053,0,57,3,6,True
16,2301056,1,50,3,10,True
17,2301057,1,60,3,4,False
18,2301058,1,38,3,6,True
19,2301059,1,45,3,5,False
20,2301060,1,39,3,3,False
21,2301068,1,30,2,1,False
22,2301069,1,52,1,5,False
23,2301070,1,28,2,5,False
24,2301071,1,35,2,4,False
25,2301072,1,41,2,6,True
26,2301073,1,45,1,10,True
27,2301074,1,30,3,4,False
28,2301075,1,24,3,10,True
29,2301086,1,55,2,5,False
30,2301087,0,51,2,7,True
31,2301092,1,50,1,5,False
32,2301093,0,43,1,5,False
33,2301094,0,45,1,3,False
34,2301096,1,27,1,10,True
35,2301099,1,41,2,0,False
36,2301100,0,48,2,5,False
37,2301104,1,43,3,0,False
38,2301105,0,52,2,10,True
39,2301108,1,50,2,10,True
40,2301111,1,31,1,10,True
41,2301113,0,69,2,7,True
42,2301116,0,79,2,9,True
43,2301122,1,23,2,7,True
44,2301124,1,34,2,10,True
45,2301125,1,47,1,10,True
46,2301126,0,43,2,10,True
47,2301127,1,43,1,10,True
48,2301128,0,40,3,10,True
49,2301129,0,52,1,2,False
50,2301130,1,29,1,5,False
51,2301132,1,49,1,10,True
52,2304001,1,73,1,5,False
53,2304002,1,50,1,0,False
54,2304003,1,37,1,10,True
55,2304004,0,53,1,10,True
56,2304006,1,31,3,4,False
57,2304007,0,40,1,10,True
58,2304009,1,27,1,4,False
59,2304010,1,57,4,5,False
60,2304011,0,66,1,10,True
61,2304014,1,55,1,6,True
62,2304015,1,38,1,0,False
63,2304020,0,65,3,5,False
64,2304021,1,37,3,4,False
65,2304022,0,50,3,6,True
66,2304024,0,36,5,10,True
