,HHID,Women,Youth,FarmCoop,Livestock,Migrants,CFUG,Lending,GroupNumber,GroupIndex
0,2301006,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3,1.552558144728388
1,2301007,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.6081797111953052
2,2301013,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-0.3361987223377776
3,2301016,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3,1.552558144728388
4,2301017,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.6081797111953052
5,2301021,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,0.6081797111953052
6,2301029,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.6081797111953052
7,2301037,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1.552558144728388
8,2301038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2805771558708605
9,2301041,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.6081797111953052
10,2301043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2805771558708605
11,2301044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.3361987223377776
12,2301046,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.6081797111953052
13,2301047,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.3361987223377776
14,2301048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2805771558708605
15,2301053,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.6081797111953052
16,2301056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2805771558708605
17,2301057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.3361987223377776
18,2301058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2805771558708605
19,2301059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2805771558708605
20,2301060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2805771558708605
21,2301068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2805771558708605
22,2301069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2805771558708605
23,2301070,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.6081797111953052
24,2301071,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.3361987223377776
25,2301072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.3361987223377776
26,2301073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.3361987223377776
27,2301074,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.6081797111953052
28,2301075,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,2.496936578261471
29,2301086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.2805771558708605
30,2301087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.3361987223377776
31,2301092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.3361987223377776
32,2301093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.3361987223377776
33,2301094,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.6081797111953052
